Ingredient Name,Category,Safety Level,Allergy Risk,Health Impact,Processing Level,Regulatory Status,Packaging Names / Alternate Names
Ascorbic Acid (Vitamin C),Antioxidants,Very Safe,No Risk,Positive,Processed,Approved,ascorbic acid; vitamin c; ins 300; e300
Ascorbyl Palmitate,Antioxidants,Safe,No Risk,Positive,Processed,Approved,ascorbyl palmitate; ins 304; e304
Aspartame,Artificial Sweeteners,Moderate Risk,No Risk,Negative,Ultra Processed,Approved with Limits,aspartame; ins 951; e951
Autolyzed Yeast Extract,Flavour Enhancers,Safe,No Risk,Neutral,Ultra Processed,Approved,autolyzed yeast extract; autolysed yeast extract
BHA (Butylated Hydroxyanisole),Antioxidants,High Risk,No Risk,Negative,Ultra Processed,Approved with Limits,bha; butylated hydroxyanisole; ins 320; e320
BHT (Butylated Hydroxytoluene),Antioxidants,High Risk,No Risk,Negative,Ultra Processed,Approved with Limits,bht; butylated hydroxytoluene; ins 321; e321
Baby Corn,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,baby corn
Bajra (Pearl Millet),Cereals & Grains,Very Safe,No Risk,Positive,Minimally Processed,Approved,bajra; pearl millet
Baking Powder,Raising Agents,Safe,No Risk,Neutral,Processed,Approved,baking powder
Banana Puree,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,banana puree; kela puree
Barley,Cereals & Grains,Very Safe,Low,Positive,Minimally Processed,Approved,barley; jau
Bay Leaf,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,bay leaf; tej patta
Beeswax,Glazing Agents,Safe,No Risk,Neutral,Minimally Processed,Approved,beeswax; ins 901; e901
Beet Red (Betanin),Food Colours,Safe,No Risk,Neutral,Minimally Processed,Approved,beet red; betanin; ins 162; e162
Beetroot Powder,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,beetroot powder; chukandar powder
Bengal Gram,Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,bengal gram; chana; desi chana
Bentonite Clay,Processing Aids,Moderate Risk,No Risk,Neutral,Highly Processed,Approved with Limits,bentonite clay; bentonite
Benzoic Acid,Preservatives,Moderate Risk,No Risk,Negative,Processed,Approved with Limits,benzoic acid; ins 210; e210
Beta-Carotene,Food Colours,Very Safe,No Risk,Positive,Processed,Approved,beta-carotene; provitamin a colour; ins 160a; e160a
Biotin,Vitamins,Safe,No Risk,Positive,Processed,Approved,biotin; vitamin b7; vitamin h
Bitter Gourd Powder,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,bitter gourd powder; karela powder
Black Cardamom,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,black cardamom; badi elaichi
Black Currant Extract,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,black currant extract
Black Gram (Urad Dal),Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,black gram; urad dal; urad
Black Pepper,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,black pepper; kali mirch
Black Salt (Kala Namak),Herbs & Spices,Very Safe,No Risk,Neutral,Natural,Approved,black salt; kala namak
Black-Eyed Peas (Lobia),Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,black-eyed peas; lobia; chawli
Blueberry Puree,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,blueberry puree
Bottle Gourd,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,bottle gourd; lauki; doodhi
Brilliant Blue FCF,Food Colours,High Risk,Low,Negative,Processed,Approved,brilliant blue fcf; blue 1; ins 133; e133
Broccoli Powder,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,broccoli powder
Bromelain,Enzymes,Safe,Low,Neutral,Processed,Approved,bromelain; pineapple enzyme
Brown Rice,Cereals & Grains,Very Safe,No Risk,Positive,Minimally Processed,Approved,brown rice; unpolished rice
Brown Sugar,Sweeteners,Moderate Risk,No Risk,Negative,Processed,Approved,brown sugar
Buckwheat (Kuttu),Cereals & Grains,Very Safe,No Risk,Positive,Minimally Processed,Approved,buckwheat; kuttu; kuttu atta
Butter,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,butter; makkhan
Buttermilk Powder,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,buttermilk powder; dried buttermilk
Cabbage,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,cabbage; patta gobi; bandh gobi
Calcium Ascorbate (Vitamin C),Vitamins,Safe,No Risk,Positive,Processed,Approved,calcium ascorbate; vitamin c (calcium salt)
Calcium Carbonate,Minerals,Safe,No Risk,Positive,Processed,Approved,calcium carbonate; chalk; ins 170; e170
Calcium Caseinate,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,calcium caseinate
Calcium Chloride,Processing Aids,Moderate Risk,No Risk,Neutral,Highly Processed,Approved with Limits,calcium chloride; ins 509; e509
Calcium Citrate,Minerals,Safe,No Risk,Positive,Processed,Approved,calcium citrate; ins 333
Calcium Disodium EDTA,Preservatives,Moderate Risk,No Risk,Negative,Processed,Approved with Limits,calcium disodium edta; ins 385; e385
Calcium Lactate,Acidity Regulators,Safe,No Risk,Neutral,Processed,Approved,calcium lactate; ins 327; e327
Calcium Phosphate,Minerals,Safe,No Risk,Positive,Processed,Approved,calcium phosphate; ins 341
Calcium Propionate,Preservatives,Safe,No Risk,Neutral,Processed,Approved with Limits,calcium propionate; ins 282; e282
Calcium Silicate,Anti-Caking Agents,Safe,No Risk,Neutral,Processed,Approved,calcium silicate; ins 552; e552
Calcium Sorbate,Preservatives,Safe,No Risk,Negative,Processed,Approved with Limits,calcium sorbate; ins 203; e203
Calcium Stearoyl Lactylate,Emulsifiers,Safe,No Risk,Neutral,Highly Processed,Approved,calcium stearoyl lactylate; csl; ins 482
Calcium Sulphite,Preservatives,High Risk,Medium,Negative,Processed,Approved with Limits,calcium sulphite; ins 226; e226
Candelilla Wax,Glazing Agents,Safe,No Risk,Neutral,Minimally Processed,Approved,candelilla wax; ins 902; e902
Candied Orange Peel,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,candied orange peel; orange peel confit
Canola Oil,Vegetable Oils,Safe,No Risk,Neutral,Processed,Approved,canola oil; rapeseed oil (low erucic)
Capsicum (Bell Pepper),Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,capsicum; bell pepper; shimla mirch
Caramel Colour,Food Colours,Moderate Risk,No Risk,Neutral,Processed,Approved,caramel colour; caramel color; ins 150; e150
Caraway Seeds,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,caraway seeds; shia jeera
Carbon Black (Vegetable Carbon),Food Colours,Moderate Risk,No Risk,Neutral,Processed,Restricted,carbon black; vegetable carbon; ins 153; e153
Carbon Dioxide,Packaging Gas Ingredients,Very Safe,No Risk,Neutral,Processed,Approved,carbon dioxide; co2; ins 290; e290
Carboxymethyl Cellulose,Thickeners,Safe,No Risk,Neutral,Processed,Approved,carboxymethyl cellulose; cmc; cellulose gum; ins 466; e466
Carmoisine (Red),Food Colours,High Risk,Medium,Negative,Processed,Approved,carmoisine; azorubine; ins 122; e122
Carnauba Wax,Glazing Agents,Safe,No Risk,Neutral,Minimally Processed,Approved,carnauba wax; ins 903; e903
Carrageenan,Stabilizers,Safe,No Risk,Neutral,Processed,Approved,carrageenan; ins 407; e407
Carrot Powder,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,carrot powder; gajar powder
Casein,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,casein; milk casein
Casein Protein,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,casein protein; casein; milk casein
Cashew Nuts,Nuts & Seeds,Safe,High,Positive,Natural,Approved,cashew nuts; kaju
Cassia Gum,Thickeners,Safe,No Risk,Neutral,Processed,Approved,cassia gum; ins 427; e427
Catalase,Enzymes,Safe,Low,Neutral,Processed,Approved,catalase
Cauliflower,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,cauliflower; gobi; phool gobi
Celery,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,celery
Celery Seeds,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,celery seeds
Chaat Masala,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,chaat masala
Cheese,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,cheese; processed cheese; cheddar cheese
Chestnut Flour,Flour & Starch,Safe,No Risk,Neutral,Processed,Approved,chestnut flour
Chia Seeds,Nuts & Seeds,Safe,Low,Very Positive,Natural,Approved,chia seeds
Chicken Masala,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,chicken masala
Chickpea Flour (Besan),Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,chickpea flour; besan; gram flour
Chickpea Protein,Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,chickpea protein; gram protein
Chlorophyll,Food Colours,Very Safe,No Risk,Neutral,Minimally Processed,Approved,chlorophyll; ins 140; e140
Choline,Vitamins,Safe,No Risk,Positive,Processed,Approved,choline; choline bitartrate; choline chloride
Chromium Chloride,Minerals,Safe,No Risk,Positive,Processed,Approved,chromium chloride
Cinnamon,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,cinnamon; dalchini
Citric Acid,Acidity Regulators,Safe,No Risk,Neutral,Processed,Approved,citric acid; acidity regulator (330); ins 330; e330
Clarified Gellan Gum,Gelling Agents,Safe,No Risk,Neutral,Processed,Approved,clarified gellan gum; ins 418
Cloves,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,cloves; laung
Coconut Milk,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,coconut milk; nariyal doodh
Coconut Oil,Vegetable Oils,Moderate Risk,No Risk,Neutral,Processed,Approved,coconut oil; nariyal tel
Coconut Water,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,coconut water; nariyal pani
Collagen Peptides,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,collagen peptides; hydrolyzed collagen; collagen hydrolysate
Condensed Milk,Dairy Ingredients,Moderate Risk,Medium,Negative,Processed,Approved,condensed milk; sweetened condensed milk
Copper Chlorophyllin,Food Colours,Safe,No Risk,Neutral,Processed,Approved,copper chlorophyllin; ins 141; e141
Copper Sulphate,Minerals,Safe,No Risk,Positive,Processed,Approved,copper sulphate; copper sulfate
Coriander Seed,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,coriander seed; dhania
Corn (Maize),Cereals & Grains,Very Safe,No Risk,Positive,Minimally Processed,Approved,corn; maize; makka; makai
Corn Flour,Flour & Starch,Safe,No Risk,Neutral,Processed,Approved,corn flour; maize flour; makka atta
Corn Oil,Vegetable Oils,Safe,No Risk,Neutral,Processed,Approved,corn oil; maize oil
Corn Starch,Flour & Starch,Safe,No Risk,Neutral,Processed,Approved,corn starch; cornstarch; corn flour (british usage); maize starch
Corn Syrup Solids,Sweeteners,Moderate Risk,No Risk,Negative,Highly Processed,Approved,corn syrup solids
Cornmeal,Cereals & Grains,Very Safe,No Risk,Positive,Minimally Processed,Approved,cornmeal; maize meal
Cottonseed Oil,Vegetable Oils,Moderate Risk,No Risk,Negative,Processed,Approved,cottonseed oil; kapas tel; banaspati cotton oil
Cream,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,cream; milk cream; malai
Cream of Tartar,Raising Agents,Safe,No Risk,Neutral,Processed,Approved,cream of tartar; potassium bitartrate; ins 336
Cultured Buttermilk,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,cultured buttermilk; chaas culture
Cumin,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,cumin; jeera
Curcumin (Natural Yellow),Food Colours,Very Safe,No Risk,Very Positive,Minimally Processed,Approved,curcumin; natural yellow; turmeric colour; ins 100; e100
Curd Culture,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,curd culture; yogurt culture; dahi culture; starter culture
Curry Powder,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,curry powder
Custard Apple Pulp,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,custard apple pulp; sitaphal pulp
Dairy Whitener,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,dairy whitener; milk whitener; whitener powder
Date Sugar,Sweeteners,Safe,No Risk,Positive,Processed,Approved,date sugar; khajoor sugar
Dates,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,dates; khajoor
Dextrose Monohydrate,Flour & Starch,Safe,No Risk,Negative,Processed,Approved,dextrose monohydrate; dextrose; glucose; corn sugar; grape sugar
Diacetyl Tartaric Acid Esters (DATEM),Emulsifiers,Moderate Risk,No Risk,Neutral,Highly Processed,Approved,datem; diacetyl tartaric acid esters of mono and diglycerides; ins 472e; e472e
Diammonium Phosphate,Raising Agents,Safe,No Risk,Neutral,Processed,Approved,diammonium phosphate; dap; ins 342(ii)
Diatomaceous Earth,Processing Aids,Moderate Risk,No Risk,Neutral,Highly Processed,Approved with Limits,diatomaceous earth; kieselguhr
Dill Seeds,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,dill seeds; sowa seeds; suva
Disodium 5'-Ribonucleotides,Flavour Enhancers,Moderate Risk,Low,Neutral,Ultra Processed,Approved,disodium 5'-ribonucleotides; ribonucleotides; ins 635; e635
Disodium Guanylate,Flavour Enhancers,Moderate Risk,Low,Neutral,Ultra Processed,Approved,disodium guanylate; gmp; ins 627; e627
Disodium Inosinate,Flavour Enhancers,Moderate Risk,Low,Neutral,Ultra Processed,Approved,disodium inosinate; imp; ins 631; e631
Dried Apricot,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,dried apricot; dried khumani
Dried Basil,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,dried basil
Dried Coriander Leaves,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,dried coriander leaves; dried dhania patta; kasuri dhania
Dried Cranberries,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,dried cranberries; craisins
Dried Curry Leaves,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,dried curry leaves; dried kadi patta; dried meetha neem
Dried Fig,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,dried fig; dried anjeer
Dried Mint,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,dried mint; dried pudina
Dried Peas,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,dried peas; sukhi matar
Dry Ginger,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,dry ginger; sonth; saunth (whole)
Dry Ginger Powder (Sonth),Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,dry ginger powder; sonth; saunth
Dry Mango Powder (Amchur),Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,dry mango powder; amchur
Egg White Powder,Protein Sources,Safe,High,Positive,Highly Processed,Approved,egg white powder; dried egg white; albumen powder; egg albumin
Egg Yolk Lecithin,Emulsifiers,Safe,High,Neutral,Highly Processed,Approved,egg yolk lecithin
Erythorbic Acid,Antioxidants,Safe,No Risk,Positive,Processed,Approved,erythorbic acid; isoascorbic acid; ins 315; e315
Erythritol,Artificial Sweeteners,Safe,No Risk,Neutral,Ultra Processed,Approved with Limits,erythritol; ins 968; e968
Erythrosine (Red),Food Colours,High Risk,Medium,Negative,Processed,Approved,erythrosine; red 3; ins 127; e127
Fennel Seeds,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,fennel seeds; saunf
Fenugreek Leaves (Kasuri Methi),Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,fenugreek leaves; kasuri methi; dried methi leaves
Fenugreek Seeds,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,fenugreek seeds; methi dana
Ferric Pyrophosphate,Minerals,Safe,No Risk,Positive,Processed,Approved,ferric pyrophosphate; iron pyrophosphate
Ferrous Sulphate (Iron),Minerals,Safe,No Risk,Positive,Processed,Approved,ferrous sulphate; ferrous sulfate; iron sulfate; iron
Fig Paste,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,fig paste; anjeer paste
Fish Gelatin,Gelling Agents,Safe,High,Neutral,Processed,Approved,fish gelatin
Flax Seeds,Nuts & Seeds,Safe,Low,Very Positive,Natural,Approved,flax seeds; alsi
Folic Acid,Vitamins,Safe,No Risk,Positive,Processed,Approved,folic acid; vitamin b9; folate
Formic Acid,Preservatives,Moderate Risk,No Risk,Negative,Processed,Approved with Limits,formic acid; ins 236
Fructose,Sweeteners,Safe,No Risk,Neutral,Processed,Approved,fructose; fruit sugar
Full Cream Milk Powder,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,full cream milk powder; whole milk powder; fcmp
Fumaric Acid,Acidity Regulators,Safe,No Risk,Neutral,Processed,Approved,fumaric acid; ins 297; e297
Furcellaran,Stabilizers,Safe,No Risk,Neutral,Processed,Approved,furcellaran; ins 407a; e407a
Garam Masala,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,garam masala
Garlic Flakes,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,garlic flakes; dehydrated garlic; lehsun flakes
Garlic Powder,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,garlic powder; lehsun powder
Gelatin,Gelling Agents,Safe,Low,Neutral,Processed,Approved,gelatin; gelatine
Gellan Gum,Stabilizers,Safe,No Risk,Neutral,Processed,Approved,gellan gum; ins 418; e418
Ghee,Dairy Ingredients,Safe,Low,Neutral,Processed,Approved,ghee; clarified butter
Ginger Paste,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,ginger paste; adrak paste
Glucono Delta-Lactone,Raising Agents,Safe,No Risk,Neutral,Processed,Approved,glucono delta-lactone; gdl; ins 575
Glucose Syrup,Sweeteners,Moderate Risk,No Risk,Negative,Processed,Approved,glucose syrup; liquid glucose; corn syrup
Glutamic Acid,Flavour Enhancers,Moderate Risk,Low,Neutral,Ultra Processed,Approved,glutamic acid; ins 620; e620
Glycerol (Glycerin),Humectants,Safe,No Risk,Neutral,Processed,Approved,glycerol; glycerin; glycerine; ins 422; e422
Glycerol Monostearate,Emulsifiers,Moderate Risk,No Risk,Neutral,Highly Processed,Approved,glycerol monostearate; gms; mono glyceride; ins 471
Golden Syrup,Sweeteners,Moderate Risk,No Risk,Negative,Processed,Approved,golden syrup
Grape Juice Concentrate,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,grape juice concentrate
Green Beans,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,green beans; french beans; farasbean
Green Cardamom,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,green cardamom; elaichi; choti elaichi
Green Chilli Paste,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,green chilli paste; hari mirch paste
Green Gram (Moong Dal),Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,green gram; moong dal; mung bean; moong
Green Peas,Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,green peas; matar
Groundnut Oil,Vegetable Oils,Safe,High,Neutral,Processed,Approved,groundnut oil; peanut oil; mungfali tel
Guar Gum,Stabilizers,Safe,No Risk,Neutral,Processed,Approved,guar gum; ins 412; e412
Guava Pulp,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,guava pulp; amrud pulp
Gum Arabic (Acacia Gum),Stabilizers,Safe,No Risk,Neutral,Processed,Approved,gum arabic; acacia gum; ins 414; e414
Hazelnuts,Nuts & Seeds,Safe,High,Positive,Natural,Approved,hazelnuts
Hexylene Glycol,Humectants,Moderate Risk,No Risk,Neutral,Processed,Approved,hexylene glycol
High Fructose Corn Syrup,Sweeteners,High Risk,No Risk,Very Negative,Highly Processed,Approved with Limits,high fructose corn syrup; hfcs
Honey,Sweeteners,Safe,No Risk,Positive,Processed,Approved,honey; shahad
Horse Gram (Kulthi),Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,horse gram; kulthi; kulith
Hydrochloric Acid (Processing),Processing Aids,Moderate Risk,No Risk,Neutral,Highly Processed,Approved with Limits,hydrochloric acid; muriatic acid; ins 507
Hydrolyzed Vegetable Protein,Flavour Enhancers,Moderate Risk,Medium,Neutral,Ultra Processed,Approved,hydrolyzed vegetable protein; hydrolysed vegetable protein; hvp
Hydrolyzed Whey Protein,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,hydrolyzed whey protein; hydrolysed whey protein
Hydroxypropyl Methylcellulose,Thickeners,Safe,No Risk,Neutral,Processed,Approved,hydroxypropyl methylcellulose; hpmc; ins 464; e464
Icing Sugar,Sweeteners,Moderate Risk,No Risk,Negative,Processed,Approved,icing sugar; confectioners sugar; powdered sugar
Indigo Carmine,Food Colours,High Risk,Low,Negative,Processed,Approved,indigo carmine; blue 2; ins 132; e132
Inositol,Vitamins,Safe,No Risk,Positive,Processed,Approved,inositol; vitamin b8
Interesterified Vegetable Fat,Vegetable Oils,Moderate Risk,No Risk,Negative,Ultra Processed,Approved,interesterified vegetable fat; interesterified fat
Invert Sugar Syrup,Sweeteners,Moderate Risk,No Risk,Negative,Processed,Approved,invert sugar syrup; invert syrup
Invertase,Enzymes,Safe,Low,Neutral,Processed,Approved,invertase
Ion Exchange Resin,Processing Aids,Moderate Risk,No Risk,Neutral,Highly Processed,Approved with Limits,ion exchange resin
Isinglass,Gelling Agents,Safe,High,Neutral,Processed,Approved,isinglass
Isomalt,Humectants,Safe,No Risk,Neutral,Processed,Approved,isomalt; ins 953
Jackfruit Pulp,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,jackfruit pulp; kathal pulp
Jaggery,Sweeteners,Safe,No Risk,Neutral,Processed,Approved,jaggery; gur
Jowar (Sorghum),Cereals & Grains,Very Safe,No Risk,Positive,Minimally Processed,Approved,jowar; sorghum; juar
Kalonji (Nigella Seeds),Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,kalonji; nigella seeds; kalaunji
Kappa Carrageenan,Gelling Agents,Safe,No Risk,Neutral,Processed,Approved,kappa carrageenan; ins 407
Karaya Gum,Stabilizers,Safe,No Risk,Neutral,Processed,Approved,karaya gum; ins 416; e416
Khoya (Mawa),Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,khoya; mawa
Kidney Beans (Rajma),Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,kidney beans; rajma
Kiwi Puree,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,kiwi puree
Kokum,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,kokum
Konjac Gum,Thickeners,Safe,No Risk,Neutral,Processed,Approved,konjac gum; ins 425; e425
Lactase,Enzymes,Safe,Low,Neutral,Processed,Approved,lactase
Lactic Acid,Acidity Regulators,Safe,No Risk,Neutral,Processed,Approved,lactic acid; ins 270; e270
Lactitol,Humectants,Safe,No Risk,Neutral,Processed,Approved,lactitol; ins 966
Lactose,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,lactose; milk sugar
Lecithin (Source Unspecified),Emulsifiers,Safe,Medium,Neutral,Highly Processed,Approved,ins 322; lecithin; lecithin (unspecified); e322 (unspecified source)
Lemon Juice Concentrate,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,lemon juice concentrate; nimbu ras concentrate
Lentil Flour,Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,lentil flour; dal flour
Lime Juice,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,lime juice; nimbu ras
Lipase,Enzymes,Safe,Low,Neutral,Processed,Approved,lipase
Litchi Pulp,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,litchi pulp; lychee pulp
